R1_EP_DP,126.30,-52.30,0.00,0.47,CPF0201D7K68C1_0201
R1_USB,129.20,-52.30,0.00,5K1,CPF0201D7K68C1_0201
R2,-39.50,0.30,0.00,0,CPF0201D7K68C1_0201
R2_EP_DR,134.80,-45.40,0.00,10K,CPF0201D7K68C1_0201
R2_USB,137.70,-45.40,0.00,5K1,CPF0201D7K68C1_0201
R3,23.00,-64.80,0.00,0,CPF0201D7K68C1_0201
R4,-38.70,0.30,0.00,0,CPF0201D7K68C1_0201
R5,28.80,-64.70,0.00,10K,CPF0201D7K68C1_0201
R7,31.70,-64.80,0.00,10K,CPF0201D7K68C1_0201
R8,34.60,-64.80,0.00,10K,CPF0201D7K68C1_0201
R9,-35.50,-2.10,90.00,CPF0201D7K68C1_CPF0201D7K68C1,CPF0201D7K68C1_0201
R_PWR_EPD,40.30,-64.80,0.00,10K,CPF0201D7K68C1_0201
R_TYPE_SEL,43.20,-64.80,0.00,2.2,CPF0201D7K68C1_0201
SJ1,-34.30,-11.80,90.00,0,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,-14.80,-29.03,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,-25.80,-29.03,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,-36.80,-29.03,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,-39.30,-91.80,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,-46.50,-6.60,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BAT_GND,-40.40,-102.80,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,-35.70,-97.00,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,-23.00,-104.30,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,-23.60,-94.60,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,-7.90,-104.50,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,-33.10,0.00,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SDA,-33.00,-4.50,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,8.80,-103.70,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,6.40,-98.60,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,10.70,-91.80,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,20.60,-97.60,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,-44.10,-6.60,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U1,-19.80,-14.20,0.00,NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3,-16.10,-20.00,0.00,MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,-17.30,-7.60,0.00,32MHz,NORDIC_NRF_BT-XTAL_2016_N
X2,-11.50,-4.90,0.00,32.768kHz,NORDIC_NRF_1_XTAL_3215_N
